variant,basin_id,component,mean_component_discharge,component_weight,component_contribution_to_final_q,collapsed_near_zero,dominates_basin,mean_channel_loss_component,mean_gate_loss_component
Model6PhysicalFix_A_explicit_gate,1118300,2,1.8900296688079834,0.12463534623384476,0.21250073611736298,False,False,0.04330364614725113,0.004528949502855539
Model6PhysicalFix_A_explicit_gate,1118300,3,2.371809959411621,0.14234492182731628,0.26666903495788574,False,False,0.09211636334657669,0.0079346327111125
Model6PhysicalFix_A_explicit_gate,1118300,4,2.269026041030884,0.5553972721099854,0.2551169693470001,False,False,0.07003195583820343,0.0040280078537762165
Model6PhysicalFix_A_explicit_gate,1121000,1,2.1693532466888428,0.08772871643304825,0.26830339431762695,False,False,0.012313827872276306,0.05864396691322327
Model6PhysicalFix_A_explicit_gate,1121000,2,1.793872356414795,0.0859309509396553,0.22186335921287537,False,False,0.060499172657728195,0.004219131078571081
Model6PhysicalFix_A_explicit_gate,1121000,3,2.144866943359375,0.21762500703334808,0.2652742564678192,False,False,0.046876732259988785,0.007568034343421459
Model6PhysicalFix_A_explicit_gate,1121000,4,1.9772180318832397,0.6087153553962708,0.24454468488693237,False,False,0.05888483300805092,0.0041610850021243095
Model6PhysicalFix_A_explicit_gate,1123000,1,2.2924563884735107,0.08291715383529663,0.2691884934902191,False,False,0.0116287125274539,0.06229110434651375
Model6PhysicalFix_A_explicit_gate,1123000,2,1.8654600381851196,0.08802736550569534,0.21904850006103516,False,False,0.05964896082878113,0.004414769355207682
Model6PhysicalFix_A_explicit_gate,1123000,3,2.26318621635437,0.1989756077528,0.26575136184692383,False,False,0.05031559243798256,0.008257085457444191
Model6PhysicalFix_A_explicit_gate,1123000,4,2.0949246883392334,0.6300798654556274,0.24599777162075043,False,False,0.06187104433774948,0.0042622871696949005
Model6PhysicalFix_A_explicit_gate,1134500,1,2.1978228092193604,0.11160405725240707,0.2574992775917053,False,False,0.010900325141847134,0.08168121427297592
Model6PhysicalFix_A_explicit_gate,1134500,2,2.2419824600219727,0.09638090431690216,0.2626725137233734,False,False,0.044158291071653366,0.00830252468585968
Model6PhysicalFix_A_explicit_gate,1134500,3,2.0481605529785156,0.3028404712677002,0.23996399343013763,False,False,0.014025592245161533,0.0071000936441123486
Model6PhysicalFix_A_explicit_gate,1134500,4,2.047145128250122,0.48917457461357117,0.23984943330287933,False,False,0.007148941978812218,0.004476033616811037
Model6PhysicalFix_A_explicit_gate,1137500,1,2.44110369682312,0.18348747491836548,0.24021071195602417,False,False,0.03833018243312836,0.05293094739317894
Model6PhysicalFix_A_explicit_gate,1137500,2,2.173920154571533,0.18529511988162994,0.2139188051223755,False,False,0.013280373997986317,0.003267264226451516
Model6PhysicalFix_A_explicit_gate,1137500,3,2.886892080307007,0.13204866647720337,0.2840777337551117,False,False,0.008767912164330482,0.011212311685085297
Model6PhysicalFix_A_explicit_gate,1137500,4,2.6602540016174316,0.4991686940193176,0.26177963614463806,False,False,0.005152960307896137,0.004723698832094669
Model6PhysicalFix_A_explicit_gate,1139000,1,1.6209133863449097,0.13166074454784393,0.24462005496025085,False,False,0.011058485135436058,0.047014351934194565
Model6PhysicalFix_A_explicit_gate,1139000,2,1.5306459665298462,0.1501445323228836,0.23099736869335175,False,False,0.05910380929708481,0.004497571848332882
Model6PhysicalFix_A_explicit_gate,1139000,3,1.7593311071395874,0.19742439687252045,0.26550889015197754,False,False,0.01902577467262745,0.007413867395371199
Model6PhysicalFix_A_explicit_gate,1139000,4,1.7152069807052612,0.5207703113555908,0.2588566243648529,False,False,0.00921928696334362,0.0042855218052864075
Model6PhysicalFix_A_explicit_gate,1139800,1,1.8114352226257324,0.13757380843162537,0.25444501638412476,False,False,0.01372417900711298,0.05004236847162247
Model6PhysicalFix_A_explicit_gate,1139800,2,1.3234713077545166,0.13361144065856934,0.18590185046195984,False,False,0.06408166885375977,0.0026988275349140167
Model6PhysicalFix_A_explicit_gate,1139800,3,2.0424232482910156,0.1865323930978775,0.28689032793045044,False,False,0.006158455740660429,0.008395860902965069
Model6PhysicalFix_A_explicit_gate,1139800,4,1.9416807889938354,0.5422823429107666,0.2727459967136383,False,False,0.021666888147592545,0.004686541389673948
Model6PhysicalFix_A_explicit_gate,1142500,1,1.5354856252670288,0.12923160195350647,0.22271397709846497,False,False,0.008651354350149632,0.03156266734004021
Model6PhysicalFix_A_explicit_gate,1142500,2,1.4469221830368042,0.12083851546049118,0.20986777544021606,False,False,0.06353305280208588,0.0029608116019517183
Model6PhysicalFix_A_explicit_gate,1142500,3,2.0092694759368896,0.18859075009822845,0.2914339005947113,False,False,0.011772164143621922,0.007758871652185917
Model6PhysicalFix_A_explicit_gate,1142500,4,1.9026058912277222,0.5613391399383545,0.2759687304496765,False,False,0.013662420213222504,0.004229729063808918
Model6PhysicalFix_A_explicit_gate,1144000,1,2.0633935928344727,0.17257092893123627,0.2620255649089813,False,False,0.015312006697058678,0.06481669843196869
Model6PhysicalFix_A_explicit_gate,1144000,2,1.7782912254333496,0.12905868887901306,0.22582025825977325,False,False,0.04640364646911621,0.004839644767343998
Model6PhysicalFix_A_explicit_gate,1144000,3,2.017326593399048,0.24290752410888672,0.2561751902103424,False,False,0.01979447714984417,0.007146069779992104
Model6PhysicalFix_A_explicit_gate,1144000,4,2.0156211853027344,0.45546284317970276,0.25596389174461365,False,False,0.012943638488650322,0.004619356244802475
Model6PhysicalFix_A_explicit_gate,1162500,1,1.9567055702209473,0.22682823240756989,0.2604813575744629,False,False,0.03262260556221008,0.0376749262213707
